
Mon Jul 20 07:51:51 KST 2015 | log started
Mon Jul 20 07:51:51 KST 2015 | Start of Thread
Mon Jul 20 07:51:51 KST 2015 | 0 | blue | 0, 3 | 0, 0
Mon Jul 20 07:51:51 KST 2015 | 1 | red | 1, 4 | 0, 4
Mon Jul 20 07:51:51 KST 2015 | 2 | blue | 2, 4 | 0, 4
Mon Jul 20 07:51:51 KST 2015 | 3 | red | 4, 0 | 0, 0
Mon Jul 20 07:51:51 KST 2015 | 4 | blue | 2, 4 | 0, 4
Mon Jul 20 07:51:51 KST 2015 | 5 | red | 2, 4 | 2, 0
Mon Jul 20 07:51:51 KST 2015 | 6 | blue | 4, 1 | 4, 4
Mon Jul 20 07:51:51 KST 2015 | 7 | red | 0, 3 | 0, 0
Mon Jul 20 07:51:51 KST 2015 | 8 | blue | 3, 0 | 0, 0
Mon Jul 20 07:51:51 KST 2015 | 9 | red | 0, 1 | 4, 1
Mon Jul 20 07:51:51 KST 2015 | 10 | blue | 0, 4 | 4, 4
Mon Jul 20 07:51:51 KST 2015 | 11 | red | 4, 3 | 0, 3
Mon Jul 20 07:51:51 KST 2015 | 12 | blue | 2, 0 | 0, 0
Mon Jul 20 07:51:51 KST 2015 | 13 | red | 1, 4 | 4, 4
Mon Jul 20 07:51:51 KST 2015 | 14 | blue | 0, 2 | 4, 2
Mon Jul 20 07:51:51 KST 2015 | 15 | red | 4, 0 | 4, 4
Mon Jul 20 07:51:51 KST 2015 | 16 | blue | 4, 1 | 4, 0
Mon Jul 20 07:51:51 KST 2015 | 17 | red | 4, 4 | 4, 0
Mon Jul 20 07:51:51 KST 2015 | 18 | blue | 1, 4 | 4, 4
Mon Jul 20 07:51:51 KST 2015 | 19 | red | 4, 0 | 4, 4
Mon Jul 20 07:51:51 KST 2015 | 20 | blue | 0, 4 | 0, 0
Mon Jul 20 07:51:51 KST 2015 | 21 | red | 0, 4 | 4, 4
Mon Jul 20 07:51:51 KST 2015 | 22 | blue | 0, 4 | 0, 0
Mon Jul 20 07:51:51 KST 2015 | 23 | red | 2, 4 | 0, 4
Mon Jul 20 07:51:51 KST 2015 | 24 | blue | 4, 2 | 0, 2
Mon Jul 20 07:51:51 KST 2015 | 25 | red | 0, 3 | 0, 0
Mon Jul 20 07:51:51 KST 2015 | 26 | blue | 0, 1 | 4, 1
Mon Jul 20 07:51:51 KST 2015 | 27 | red | 0, 0 | 4, 0
Mon Jul 20 07:51:51 KST 2015 | 28 | blue | 1, 4 | 1, 0
Mon Jul 20 07:51:51 KST 2015 | 29 | red | 1, 4 | 4, 4
Mon Jul 20 07:51:51 KST 2015 | 30 | blue | 3, 0 | 3, 4
Mon Jul 20 07:51:51 KST 2015 | 31 | red | 4, 0 | 4, 4
Mon Jul 20 07:51:51 KST 2015 | 32 | blue | 1, 0 | 4, 0
Mon Jul 20 07:51:51 KST 2015 | 33 | red | 1, 0 | 0, 0
